presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 7 fixings, 0 bound changes
(round 1, medium)     7 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 190 clqs
(round 2, exhaustive) 7 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 190 clqs
(round 3, exhaustive) 7 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 0 chg coeffs, 187 upgd conss, 0 impls, 190 clqs
(round 4, medium)     43 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 36 chg coeffs, 187 upgd conss, 0 impls, 190 clqs
(round 5, fast)       50 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 36 chg coeffs, 187 upgd conss, 0 impls, 190 clqs
(round 6, exhaustive) 50 del vars, 5 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 36 chg coeffs, 187 upgd conss, 0 impls, 190 clqs
   (0.0s) probing: 51/450 (11.3%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (7 rounds: 7 fast, 6 medium, 4 exhaustive):
 50 deleted vars, 5 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 3 changed sides, 36 changed coefficients
 0 implications, 190 cliques
presolved problem has 450 variables (450 bin, 0 int, 0 impl, 0 cont) and 185 constraints
    185 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  2073 |     - |  5606k |   0 | 450 | 185 | 185 |   0 |  0 |   0 |   0 | 8.025278e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  2131 |     - |    21M |   0 | 450 | 185 | 187 |   2 |  1 |   0 |   0 | 7.991013e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  2193 |     - |    33M |   0 | 450 | 185 | 190 |   5 |  2 |   0 |   0 | 7.971209e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  2247 |     - |    44M |   0 | 450 | 185 | 193 |   8 |  3 |   0 |   0 | 7.964244e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  2305 |     - |    51M |   0 | 450 | 185 | 195 |  10 |  4 |   0 |   0 | 7.959290e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  2351 |     - |    58M |   0 | 450 | 185 | 198 |  13 |  5 |   0 |   0 | 7.957927e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  2388 |     - |    62M |   0 | 450 | 185 | 201 |  16 |  6 |   0 |   0 | 7.956497e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2426 |     - |    69M |   0 | 450 | 185 | 203 |  18 |  7 |   0 |   0 | 7.955191e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2468 |     - |    81M |   0 | 450 | 185 | 205 |  20 |  8 |   0 |   0 | 7.952920e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2547 |     - |    83M |   0 | 450 | 185 | 208 |  23 |  9 |   0 |   0 | 7.949721e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2604 |     - |    95M |   0 | 450 | 185 | 211 |  26 | 10 |   0 |   0 | 7.947395e+03 |      --      |    Inf | unknown
