presolving:
(round 1, fast)       0 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 190 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 12 fixings, 0 bound changes
(round 2, medium)     12 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 190 clqs
(round 3, exhaustive) 12 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 190 upgd conss, 0 impls, 190 clqs
(round 4, medium)     58 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 46 chg coeffs, 190 upgd conss, 0 impls, 190 clqs
(round 5, fast)       87 del vars, 2 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 46 chg coeffs, 190 upgd conss, 0 impls, 189 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 1 fixings, 0 bound changes
(round 6, medium)     88 del vars, 2 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 46 chg coeffs, 190 upgd conss, 0 impls, 189 clqs
(round 7, exhaustive) 88 del vars, 8 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 46 chg coeffs, 190 upgd conss, 0 impls, 189 clqs
   (0.0s) probing: 51/412 (12.4%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (8 rounds: 8 fast, 6 medium, 3 exhaustive):
 88 deleted vars, 8 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 46 changed coefficients
 0 implications, 189 cliques
presolved problem has 412 variables (412 bin, 0 int, 0 impl, 0 cont) and 183 constraints
    183 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1536 |     - |  5331k |   0 | 412 | 183 | 183 |   0 |  0 |   0 |   0 | 7.652221e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1569 |     - |    17M |   0 | 412 | 183 | 186 |   3 |  1 |   0 |   0 | 7.635376e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1607 |     - |    30M |   0 | 412 | 183 | 189 |   6 |  2 |   0 |   0 | 7.619449e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1635 |     - |    39M |   0 | 412 | 183 | 193 |  10 |  3 |   0 |   0 | 7.605396e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1655 |     - |    46M |   0 | 412 | 183 | 196 |  13 |  4 |   0 |   0 | 7.596213e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1705 |     - |    53M |   0 | 412 | 183 | 197 |  14 |  5 |   0 |   0 | 7.592119e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1741 |     - |    61M |   0 | 412 | 183 | 199 |  16 |  6 |   0 |   0 | 7.587449e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1783 |     - |    64M |   0 | 412 | 183 | 201 |  18 |  7 |   0 |   0 | 7.585034e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1822 |     - |    74M |   0 | 412 | 183 | 202 |  19 |  8 |   0 |   0 | 7.584258e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1852 |     - |    76M |   0 | 412 | 183 | 203 |  20 |  9 |   0 |   0 | 7.583651e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1911 |     - |    85M |   0 | 412 | 183 | 205 |  22 | 10 |   0 |   0 | 7.582438e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1955 |     - |    85M |   0 | 412 | 183 | 209 |  26 | 11 |   0 |   0 | 7.581322e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1988 |     - |    85M |   0 | 412 | 183 | 214 |  31 | 12 |   0 |   0 | 7.580282e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2017 |     - |    85M |   0 | 412 | 183 | 215 |  32 | 13 |   0 |   0 | 7.579235e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2041 |     - |    85M |   0 | 412 | 183 | 216 |  33 | 14 |   0 |   0 | 7.578485e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
