presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 17 fixings, 0 bound changes
(round 1, medium)     17 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 194 clqs
(round 2, exhaustive) 17 del vars, 5 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 194 clqs
(round 3, exhaustive) 17 del vars, 5 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 0 chg coeffs, 189 upgd conss, 0 impls, 194 clqs
(round 4, medium)     55 del vars, 5 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 38 chg coeffs, 189 upgd conss, 0 impls, 194 clqs
(round 5, fast)       76 del vars, 6 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 38 chg coeffs, 189 upgd conss, 0 impls, 192 clqs
(round 6, exhaustive) 76 del vars, 8 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 38 chg coeffs, 189 upgd conss, 0 impls, 192 clqs
   (0.0s) probing: 51/424 (12.0%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (7 rounds: 7 fast, 6 medium, 4 exhaustive):
 76 deleted vars, 8 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 5 changed sides, 38 changed coefficients
 0 implications, 192 cliques
presolved problem has 424 variables (424 bin, 0 int, 0 impl, 0 cont) and 186 constraints
    186 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1507 |     - |  5436k |   0 | 424 | 186 | 186 |   0 |  0 |   0 |   0 | 7.721436e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1544 |     - |    18M |   0 | 424 | 186 | 188 |   2 |  1 |   0 |   0 | 7.700361e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1586 |     - |    31M |   0 | 424 | 186 | 191 |   5 |  2 |   0 |   0 | 7.688851e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1612 |     - |    35M |   0 | 424 | 186 | 194 |   8 |  3 |   0 |   0 | 7.679951e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1652 |     - |    45M |   0 | 424 | 186 | 196 |  10 |  4 |   0 |   0 | 7.672595e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1683 |     - |    52M |   0 | 424 | 186 | 197 |  11 |  5 |   0 |   0 | 7.670005e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1706 |     - |    56M |   0 | 424 | 186 | 199 |  13 |  6 |   0 |   0 | 7.668356e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1722 |     - |    64M |   0 | 424 | 186 | 201 |  15 |  7 |   0 |   0 | 7.667329e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1771 |     - |    67M |   0 | 424 | 186 | 203 |  17 |  8 |   0 |   0 | 7.664705e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1797 |     - |    77M |   0 | 424 | 186 | 205 |  19 |  9 |   0 |   0 | 7.663277e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1817 |     - |    79M |   0 | 424 | 186 | 207 |  21 | 10 |   0 |   0 | 7.662234e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1851 |     - |    79M |   0 | 424 | 186 | 211 |  25 | 11 |   0 |   0 | 7.660891e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1973 |     - |    79M |   0 | 424 | 186 | 214 |  28 | 12 |   0 |   0 | 7.654369e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1990 |     - |    79M |   0 | 424 | 186 | 215 |  29 | 13 |   0 |   0 | 7.654212e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1997 |     - |    79M |   0 | 424 | 186 | 216 |  30 | 14 |   0 |   0 | 7.653990e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.7s|     1 |     0 |  2010 |     - |    79M |   0 | 424 | 186 | 218 |  32 | 15 |   0 |   0 | 7.652640e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2026 |     - |    79M |   0 | 424 | 186 | 220 |  34 | 16 |   0 |   0 | 7.652395e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2059 |     - |    79M |   0 | 424 | 186 | 221 |  36 | 17 |   0 |   0 | 7.651412e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2092 |     - |    79M |   0 | 424 | 186 | 224 |  39 | 18 |   0 |   0 | 7.649964e+03 |      --      |    Inf | unknown
