presolving:
(round 1, fast)       3 del vars, 3 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 191 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 20 fixings, 0 bound changes
(round 2, medium)     23 del vars, 3 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 189 clqs
(round 3, fast)       23 del vars, 5 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 189 clqs
(round 4, exhaustive) 23 del vars, 11 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 189 clqs
(round 5, exhaustive) 23 del vars, 11 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 0 chg coeffs, 183 upgd conss, 0 impls, 189 clqs
(round 6, medium)     57 del vars, 11 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 34 chg coeffs, 183 upgd conss, 0 impls, 189 clqs
(round 7, fast)       70 del vars, 11 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 34 chg coeffs, 183 upgd conss, 0 impls, 188 clqs
(round 8, exhaustive) 70 del vars, 13 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 34 chg coeffs, 183 upgd conss, 0 impls, 188 clqs
   (0.0s) probing: 51/430 (11.9%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (9 rounds: 9 fast, 6 medium, 4 exhaustive):
 70 deleted vars, 13 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 6 changed sides, 34 changed coefficients
 0 implications, 188 cliques
presolved problem has 430 variables (430 bin, 0 int, 0 impl, 0 cont) and 181 constraints
    181 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1235 |     - |  5323k |   0 | 430 | 181 | 181 |   0 |  0 |   0 |   0 | 7.717195e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1256 |     - |    19M |   0 | 430 | 181 | 184 |   3 |  1 |   0 |   0 | 7.703885e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1312 |     - |    31M |   0 | 430 | 181 | 187 |   6 |  2 |   0 |   0 | 7.684366e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1350 |     - |    38M |   0 | 430 | 181 | 191 |  10 |  3 |   0 |   0 | 7.679357e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1415 |     - |    46M |   0 | 430 | 181 | 196 |  15 |  4 |   0 |   0 | 7.674638e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1453 |     - |    49M |   0 | 430 | 181 | 199 |  18 |  5 |   0 |   0 | 7.668450e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1486 |     - |    56M |   0 | 430 | 181 | 201 |  20 |  6 |   0 |   0 | 7.664908e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1520 |     - |    62M |   0 | 430 | 181 | 202 |  21 |  7 |   0 |   0 | 7.661182e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1558 |     - |    66M |   0 | 430 | 181 | 204 |  23 |  8 |   0 |   0 | 7.657225e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1594 |     - |    73M |   0 | 430 | 181 | 207 |  26 |  9 |   0 |   0 | 7.654714e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1674 |     - |    79M |   0 | 430 | 181 | 209 |  28 | 10 |   0 |   0 | 7.650787e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1712 |     - |    79M |   0 | 430 | 181 | 211 |  31 | 11 |   0 |   0 | 7.647212e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1760 |     - |    79M |   0 | 430 | 181 | 214 |  34 | 12 |   0 |   0 | 7.644121e+03 |      --      |    Inf | unknown
