presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 16 fixings, 0 bound changes
(round 1, medium)     16 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 194 clqs
(round 2, fast)       16 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 194 clqs
(round 3, exhaustive) 16 del vars, 8 del conss, 0 add conss, 0 chg bounds, 7 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 194 clqs
(round 4, exhaustive) 16 del vars, 8 del conss, 0 add conss, 0 chg bounds, 7 chg sides, 0 chg coeffs, 187 upgd conss, 0 impls, 194 clqs
(round 5, medium)     58 del vars, 8 del conss, 0 add conss, 0 chg bounds, 7 chg sides, 42 chg coeffs, 187 upgd conss, 0 impls, 194 clqs
(round 6, fast)       79 del vars, 9 del conss, 0 add conss, 0 chg bounds, 7 chg sides, 42 chg coeffs, 187 upgd conss, 0 impls, 192 clqs
(round 7, exhaustive) 79 del vars, 10 del conss, 0 add conss, 0 chg bounds, 7 chg sides, 42 chg coeffs, 187 upgd conss, 0 impls, 192 clqs
(round 8, exhaustive) 80 del vars, 10 del conss, 0 add conss, 0 chg bounds, 7 chg sides, 42 chg coeffs, 187 upgd conss, 0 impls, 191 clqs
   (0.0s) probing: 51/420 (12.1%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (9 rounds: 9 fast, 7 medium, 5 exhaustive):
 80 deleted vars, 10 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 7 changed sides, 42 changed coefficients
 0 implications, 191 cliques
presolved problem has 420 variables (420 bin, 0 int, 0 impl, 0 cont) and 185 constraints
    185 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1755 |     - |  5251k |   0 | 420 | 185 | 185 |   0 |  0 |   0 |   0 | 7.931266e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1843 |     - |    17M |   0 | 420 | 185 | 189 |   4 |  1 |   0 |   0 | 7.904569e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1904 |     - |    26M |   0 | 420 | 185 | 193 |   8 |  2 |   0 |   0 | 7.887650e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1946 |     - |    31M |   0 | 420 | 185 | 195 |  10 |  3 |   0 |   0 | 7.881139e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1968 |     - |    37M |   0 | 420 | 185 | 197 |  12 |  4 |   0 |   0 | 7.875571e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  2006 |     - |    42M |   0 | 420 | 185 | 200 |  15 |  5 |   0 |   0 | 7.873330e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  2034 |     - |    48M |   0 | 420 | 185 | 204 |  19 |  6 |   0 |   0 | 7.871323e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  2064 |     - |    52M |   0 | 420 | 185 | 205 |  20 |  7 |   0 |   0 | 7.869508e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  2128 |     - |    59M |   0 | 420 | 185 | 206 |  21 |  8 |   0 |   0 | 7.867028e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2173 |     - |    63M |   0 | 420 | 185 | 209 |  24 |  9 |   0 |   0 | 7.865175e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2229 |     - |    70M |   0 | 420 | 185 | 211 |  26 | 10 |   0 |   0 | 7.863595e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2253 |     - |    70M |   0 | 420 | 185 | 212 |  27 | 11 |   0 |   0 | 7.862630e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2268 |     - |    70M |   0 | 420 | 185 | 214 |  29 | 12 |   0 |   0 | 7.861568e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2296 |     - |    70M |   0 | 420 | 185 | 217 |  32 | 13 |   0 |   0 | 7.860667e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2307 |     - |    70M |   0 | 420 | 185 | 219 |  34 | 14 |   0 |   0 | 7.860340e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.6s|     1 |     0 |  2321 |     - |    71M |   0 | 420 | 185 | 220 |  35 | 15 |   0 |   0 | 7.859895e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2327 |     - |    71M |   0 | 420 | 185 | 221 |  36 | 16 |   0 |   0 | 7.859877e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2331 |     - |    71M |   0 | 420 | 185 | 221 |  37 | 17 |   0 |   0 | 7.859876e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2361 |     - |    71M |   0 | 420 | 185 | 223 |  39 | 18 |   0 |   0 | 7.859029e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2382 |     - |    71M |   0 | 420 | 185 | 224 |  40 | 19 |   0 |   0 | 7.858523e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2384 |     - |    71M |   0 | 420 | 185 | 225 |  41 | 20 |   0 |   0 | 7.858513e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2419 |     - |    71M |   0 | 420 | 185 | 228 |  44 | 21 |   0 |   0 | 7.856849e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2444 |     - |    71M |   0 | 420 | 185 | 230 |  46 | 22 |   0 |   0 | 7.856020e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2452 |     - |    71M |   0 | 420 | 185 | 225 |  48 | 23 |   0 |   0 | 7.855844e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2460 |     - |    71M |   0 | 420 | 185 | 227 |  50 | 24 |   0 |   0 | 7.855622e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2469 |     - |    71M |   0 | 420 | 185 | 229 |  52 | 25 |   0 |   0 | 7.855531e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2479 |     - |    71M |   0 | 420 | 185 | 232 |  55 | 26 |   0 |   0 | 7.855416e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2491 |     - |    71M |   0 | 420 | 185 | 236 |  59 | 27 |   0 |   0 | 7.855251e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2501 |     - |    71M |   0 | 420 | 185 | 239 |  62 | 28 |   0 |   0 | 7.855164e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2523 |     - |    71M |   0 | 420 | 185 | 241 |  68 | 29 |   0 |   0 | 7.854951e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.8s|     1 |     0 |  2530 |     - |    71M |   0 | 420 | 185 | 243 |  70 | 30 |   0 |   0 | 7.854903e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2536 |     - |    71M |   0 | 420 | 185 | 247 |  74 | 31 |   0 |   0 | 7.854889e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2539 |     - |    71M |   0 | 420 | 185 | 249 |  76 | 32 |   0 |   0 | 7.854880e+03 |      --      |    Inf | unknown
d 0.8s|     1 |     0 |  2539 |     - |veclen2d|   0 | 420 | 185 | 249 |   0 | 32 |   0 |   0 | 7.854880e+03 | 3.011991e+03 | 160.79%| unknown
d 4.8s|     1 |     0 |  3155 |     - |veclen2d|   0 | 420 | 185 | 249 |   0 | 32 |   0 |   0 | 7.854880e+03 | 3.149112e+03 | 149.43%| unknown
  7.0s|     1 |     0 |  3644 |     - |    71M |   0 | 420 | 185 | 249 |  76 | 32 |   0 |   0 | 7.854880e+03 | 3.149112e+03 | 149.43%| unknown
