presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 18 fixings, 0 bound changes
(round 1, medium)     18 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 195 clqs
(round 2, fast)       18 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 195 clqs
(round 3, exhaustive) 18 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 195 clqs
(round 4, exhaustive) 18 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 0 chg coeffs, 189 upgd conss, 0 impls, 195 clqs
(round 5, medium)     53 del vars, 7 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 35 chg coeffs, 189 upgd conss, 0 impls, 195 clqs
(round 6, fast)       80 del vars, 8 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 35 chg coeffs, 189 upgd conss, 0 impls, 193 clqs
(round 7, exhaustive) 80 del vars, 14 del conss, 0 add conss, 0 chg bounds, 6 chg sides, 35 chg coeffs, 189 upgd conss, 0 impls, 193 clqs
   (0.0s) probing: 51/420 (12.1%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (8 rounds: 8 fast, 6 medium, 4 exhaustive):
 80 deleted vars, 14 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 6 changed sides, 35 changed coefficients
 0 implications, 193 cliques
presolved problem has 420 variables (420 bin, 0 int, 0 impl, 0 cont) and 182 constraints
    182 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1417 |     - |  5296k |   0 | 420 | 182 | 182 |   0 |  0 |   0 |   0 | 7.698694e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1525 |     - |    18M |   0 | 420 | 182 | 185 |   3 |  1 |   0 |   0 | 7.664306e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1598 |     - |    25M |   0 | 420 | 182 | 190 |   8 |  2 |   0 |   0 | 7.637224e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1658 |     - |    31M |   0 | 420 | 182 | 193 |  11 |  3 |   0 |   0 | 7.618856e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1767 |     - |    36M |   0 | 420 | 182 | 196 |  14 |  4 |   0 |   0 | 7.608455e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1801 |     - |    41M |   0 | 420 | 182 | 197 |  15 |  5 |   0 |   0 | 7.606248e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1843 |     - |    46M |   0 | 420 | 182 | 199 |  17 |  6 |   0 |   0 | 7.604456e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1909 |     - |    52M |   0 | 420 | 182 | 200 |  18 |  7 |   0 |   0 | 7.602800e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1966 |     - |    55M |   0 | 420 | 182 | 202 |  20 |  8 |   0 |   0 | 7.601302e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  2010 |     - |    61M |   0 | 420 | 182 | 204 |  22 |  9 |   0 |   0 | 7.600698e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2057 |     - |    64M |   0 | 420 | 182 | 208 |  26 | 10 |   0 |   0 | 7.600178e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2078 |     - |    64M |   0 | 420 | 182 | 210 |  28 | 11 |   0 |   0 | 7.599753e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2098 |     - |    64M |   0 | 420 | 182 | 211 |  29 | 12 |   0 |   0 | 7.599500e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2116 |     - |    64M |   0 | 420 | 182 | 212 |  30 | 13 |   0 |   0 | 7.599423e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2179 |     - |    65M |   0 | 420 | 182 | 215 |  33 | 14 |   0 |   0 | 7.598929e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.6s|     1 |     0 |  2205 |     - |    65M |   0 | 420 | 182 | 219 |  37 | 15 |   0 |   0 | 7.598518e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2219 |     - |    65M |   0 | 420 | 182 | 220 |  38 | 16 |   0 |   0 | 7.598359e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2242 |     - |    65M |   0 | 420 | 182 | 219 |  39 | 17 |   0 |   0 | 7.598140e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2264 |     - |    65M |   0 | 420 | 182 | 221 |  41 | 18 |   0 |   0 | 7.597897e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2300 |     - |    65M |   0 | 420 | 182 | 222 |  42 | 19 |   0 |   0 | 7.597599e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2323 |     - |    66M |   0 | 420 | 182 | 223 |  43 | 20 |   0 |   0 | 7.596987e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2326 |     - |    66M |   0 | 420 | 182 | 224 |  44 | 21 |   0 |   0 | 7.596966e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2330 |     - |    66M |   0 | 420 | 182 | 225 |  45 | 22 |   0 |   0 | 7.596946e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2336 |     - |    66M |   0 | 420 | 182 | 223 |  46 | 23 |   0 |   0 | 7.596922e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2344 |     - |    66M |   0 | 420 | 182 | 224 |  47 | 24 |   0 |   0 | 7.596899e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  2355 |     - |    66M |   0 | 420 | 182 | 226 |  49 | 25 |   0 |   0 | 7.596853e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2369 |     - |    66M |   0 | 420 | 182 | 228 |  51 | 26 |   0 |   0 | 7.596684e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2374 |     - |    66M |   0 | 420 | 182 | 229 |  52 | 27 |   0 |   0 | 7.596672e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2382 |     - |    66M |   0 | 420 | 182 | 230 |  53 | 28 |   0 |   0 | 7.596651e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  2385 |     - |    66M |   0 | 420 | 182 | 227 |  54 | 29 |   0 |   0 | 7.596645e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.9s|     1 |     0 |  2391 |     - |    66M |   0 | 420 | 182 | 228 |  55 | 30 |   0 |   0 | 7.596630e+03 |      --      |    Inf | unknown
d 0.9s|     1 |     0 |  2391 |     - |veclen2d|   0 | 420 | 182 | 228 |   0 | 30 |   0 |   0 | 7.596630e+03 | 2.588306e+03 | 193.50%| unknown
d 4.7s|     1 |     0 |  2930 |     - |veclen2d|   0 | 420 | 182 | 228 |   0 | 30 |   0 |   0 | 7.596630e+03 | 2.787611e+03 | 172.51%| unknown
  6.9s|     1 |     0 |  3586 |     - |    66M |   0 | 420 | 182 | 228 |  55 | 30 |   0 |   0 | 7.596630e+03 | 2.787611e+03 | 172.51%| unknown
  7.0s|     1 |     0 |  3594 |     - |    66M |   0 | 420 | 182 | 229 |  56 | 31 |   0 |   0 | 7.596616e+03 | 2.787611e+03 | 172.51%| unknown
