presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 11 fixings, 0 bound changes
(round 1, medium)     11 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 195 clqs
(round 2, exhaustive) 11 del vars, 5 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 195 clqs
(round 3, exhaustive) 11 del vars, 5 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 0 chg coeffs, 190 upgd conss, 0 impls, 195 clqs
(round 4, medium)     50 del vars, 5 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 39 chg coeffs, 190 upgd conss, 0 impls, 195 clqs
(round 5, fast)       72 del vars, 6 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 39 chg coeffs, 190 upgd conss, 0 impls, 194 clqs
(round 6, exhaustive) 72 del vars, 9 del conss, 0 add conss, 0 chg bounds, 5 chg sides, 39 chg coeffs, 190 upgd conss, 0 impls, 194 clqs
   (0.0s) probing: 51/428 (11.9%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (7 rounds: 7 fast, 6 medium, 4 exhaustive):
 72 deleted vars, 9 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 5 changed sides, 39 changed coefficients
 0 implications, 194 cliques
presolved problem has 428 variables (428 bin, 0 int, 0 impl, 0 cont) and 186 constraints
    186 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1597 |     - |  5453k |   0 | 428 | 186 | 186 |   0 |  0 |   0 |   0 | 7.786625e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1672 |     - |    20M |   0 | 428 | 186 | 189 |   3 |  1 |   0 |   0 | 7.750487e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1711 |     - |    30M |   0 | 428 | 186 | 193 |   7 |  2 |   0 |   0 | 7.740238e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1801 |     - |    39M |   0 | 428 | 186 | 196 |  10 |  3 |   0 |   0 | 7.728479e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1841 |     - |    48M |   0 | 428 | 186 | 199 |  13 |  4 |   0 |   0 | 7.717489e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1906 |     - |    57M |   0 | 428 | 186 | 201 |  15 |  5 |   0 |   0 | 7.708509e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  2004 |     - |    64M |   0 | 428 | 186 | 203 |  17 |  6 |   0 |   0 | 7.702977e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  2042 |     - |    69M |   0 | 428 | 186 | 205 |  19 |  7 |   0 |   0 | 7.701163e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2089 |     - |    77M |   0 | 428 | 186 | 206 |  20 |  8 |   0 |   0 | 7.698130e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  2133 |     - |    77M |   0 | 428 | 186 | 208 |  22 |  9 |   0 |   0 | 7.695367e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  2197 |     - |    89M |   0 | 428 | 186 | 210 |  24 | 10 |   0 |   0 | 7.693650e+03 |      --      |    Inf | unknown
