presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 16 fixings, 0 bound changes
(round 1, medium)     16 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 189 clqs
(round 2, fast)       17 del vars, 1 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 188 clqs
(round 3, exhaustive) 17 del vars, 3 del conss, 0 add conss, 0 chg bounds, 2 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 188 clqs
(round 4, exhaustive) 17 del vars, 3 del conss, 0 add conss, 0 chg bounds, 2 chg sides, 0 chg coeffs, 186 upgd conss, 0 impls, 188 clqs
(round 5, fast)       18 del vars, 3 del conss, 0 add conss, 0 chg bounds, 2 chg sides, 0 chg coeffs, 186 upgd conss, 0 impls, 187 clqs
(round 6, medium)     56 del vars, 3 del conss, 0 add conss, 0 chg bounds, 2 chg sides, 38 chg coeffs, 186 upgd conss, 0 impls, 187 clqs
(round 7, fast)       71 del vars, 4 del conss, 0 add conss, 0 chg bounds, 2 chg sides, 38 chg coeffs, 186 upgd conss, 0 impls, 186 clqs
   (0.0s) probing: 51/429 (11.9%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (8 rounds: 8 fast, 5 medium, 3 exhaustive):
 71 deleted vars, 4 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 2 changed sides, 38 changed coefficients
 0 implications, 186 cliques
presolved problem has 429 variables (429 bin, 0 int, 0 impl, 0 cont) and 185 constraints
    185 constraints of type <setppc>
Presolving Time: 0.01

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.0s|     1 |     0 |  1188 |     - |  5495k |   0 | 429 | 185 | 185 |   0 |  0 |   0 |   0 | 8.204284e+03 |      --      |    Inf | unknown
  0.1s|     1 |     0 |  1228 |     - |    20M |   0 | 429 | 185 | 189 |   4 |  1 |   0 |   0 | 8.165757e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1261 |     - |    31M |   0 | 429 | 185 | 193 |   8 |  2 |   0 |   0 | 8.142011e+03 |      --      |    Inf | unknown
  0.2s|     1 |     0 |  1288 |     - |    41M |   0 | 429 | 185 | 194 |   9 |  3 |   0 |   0 | 8.130835e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1317 |     - |    48M |   0 | 429 | 185 | 195 |  10 |  4 |   0 |   0 | 8.123915e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1357 |     - |    56M |   0 | 429 | 185 | 199 |  14 |  5 |   0 |   0 | 8.120485e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1404 |     - |    60M |   0 | 429 | 185 | 202 |  17 |  6 |   0 |   0 | 8.117014e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1443 |     - |    66M |   0 | 429 | 185 | 204 |  19 |  7 |   0 |   0 | 8.115011e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1485 |     - |    76M |   0 | 429 | 185 | 205 |  20 |  8 |   0 |   0 | 8.113575e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1525 |     - |    76M |   0 | 429 | 185 | 207 |  22 |  9 |   0 |   0 | 8.112824e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1579 |     - |    86M |   0 | 429 | 185 | 208 |  23 | 10 |   0 |   0 | 8.112095e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1593 |     - |    86M |   0 | 429 | 185 | 209 |  24 | 11 |   0 |   0 | 8.111938e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1627 |     - |    86M |   0 | 429 | 185 | 213 |  28 | 12 |   0 |   0 | 8.111568e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1651 |     - |    87M |   0 | 429 | 185 | 217 |  32 | 13 |   0 |   0 | 8.111430e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1665 |     - |    87M |   0 | 429 | 185 | 218 |  33 | 14 |   0 |   0 | 8.111151e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.6s|     1 |     0 |  1673 |     - |    87M |   0 | 429 | 185 | 219 |  34 | 15 |   0 |   0 | 8.111099e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1687 |     - |    87M |   0 | 429 | 185 | 221 |  36 | 16 |   0 |   0 | 8.110873e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1744 |     - |    87M |   0 | 429 | 185 | 223 |  40 | 17 |   0 |   0 | 8.108937e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1765 |     - |    87M |   0 | 429 | 185 | 225 |  42 | 18 |   0 |   0 | 8.108350e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1788 |     - |    87M |   0 | 429 | 185 | 227 |  44 | 19 |   0 |   0 | 8.107476e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1800 |     - |    87M |   0 | 429 | 185 | 228 |  45 | 20 |   0 |   0 | 8.107261e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1897 |     - |    87M |   0 | 429 | 185 | 230 |  47 | 21 |   0 |   0 | 8.104294e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  1952 |     - |    87M |   0 | 429 | 185 | 232 |  49 | 22 |   0 |   0 | 8.100152e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  1981 |     - |    87M |   0 | 429 | 185 | 231 |  51 | 23 |   0 |   0 | 8.098863e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  1983 |     - |    87M |   0 | 429 | 185 | 232 |  52 | 24 |   0 |   0 | 8.098847e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  1984 |     - |    87M |   0 | 429 | 185 | 233 |  53 | 25 |   0 |   0 | 8.098845e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  1988 |     - |    87M |   0 | 429 | 185 | 234 |  54 | 26 |   0 |   0 | 8.098692e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  1991 |     - |    87M |   0 | 429 | 185 | 235 |  55 | 27 |   0 |   0 | 8.098673e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  1992 |     - |    87M |   0 | 429 | 185 | 236 |  56 | 28 |   0 |   0 | 8.098672e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  2004 |     - |    87M |   0 | 429 | 185 | 232 |  58 | 29 |   0 |   0 | 8.098373e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.9s|     1 |     0 |  2006 |     - |    87M |   0 | 429 | 185 | 233 |  59 | 30 |   0 |   0 | 8.098364e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  2031 |     - |    87M |   0 | 429 | 185 | 238 |  64 | 31 |   0 |   0 | 8.096671e+03 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  2069 |     - |    87M |   0 | 429 | 185 | 243 |  69 | 32 |   0 |   0 | 8.094628e+03 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  2109 |     - |    87M |   0 | 429 | 185 | 246 |  72 | 33 |   0 |   0 | 8.091333e+03 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  2114 |     - |    87M |   0 | 429 | 185 | 247 |  73 | 34 |   0 |   0 | 8.091303e+03 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  2142 |     - |    87M |   0 | 429 | 185 | 237 |  78 | 35 |   0 |   0 | 8.088864e+03 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  2182 |     - |    87M |   0 | 429 | 185 | 240 |  81 | 36 |   0 |   0 | 8.086885e+03 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  2198 |     - |    87M |   0 | 429 | 185 | 245 |  86 | 37 |   0 |   0 | 8.086409e+03 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  2219 |     - |    87M |   0 | 429 | 185 | 254 |  95 | 38 |   0 |   0 | 8.085785e+03 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  2225 |     - |    87M |   0 | 429 | 185 | 259 | 100 | 39 |   0 |   0 | 8.085758e+03 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  2226 |     - |    87M |   0 | 429 | 185 | 261 | 102 | 40 |   0 |   0 | 8.085750e+03 |      --      |    Inf | unknown
d 1.1s|     1 |     0 |  2226 |     - |veclendi|   0 | 429 | 185 | 261 |   0 | 41 |   0 |   0 | 8.085750e+03 | 3.104201e+03 | 160.48%| unknown
  1.1s|     1 |     0 |  3240 |     - |    87M |   0 | 429 | 185 | 261 | 102 | 41 |   0 |   0 | 8.085750e+03 | 3.104201e+03 | 160.48%| unknown
* 1.2s|     1 |     0 |  3240 |     - |strongbr|   0 | 429 | 185 | 261 | 102 | 42 |   0 |   0 | 8.085750e+03 | 3.639704e+03 | 122.15%| unknown
