presolving:
   (0.0s) running MILP presolver
   (0.0s) MILP presolver (2 rounds): 0 aggregations, 24 fixings, 0 bound changes
(round 1, medium)     24 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 188 clqs
(round 2, exhaustive) 24 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 188 clqs
(round 3, exhaustive) 24 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 0 chg coeffs, 185 upgd conss, 0 impls, 188 clqs
(round 4, medium)     60 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 36 chg coeffs, 185 upgd conss, 0 impls, 188 clqs
(round 5, fast)       68 del vars, 3 del conss, 0 add conss, 0 chg bounds, 3 chg sides, 36 chg coeffs, 185 upgd conss, 0 impls, 188 clqs
   (0.0s) probing: 51/432 (11.8%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) no symmetry present (symcode time: 0.00)
presolving (6 rounds: 6 fast, 5 medium, 3 exhaustive):
 68 deleted vars, 3 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 3 changed sides, 36 changed coefficients
 0 implications, 188 cliques
presolved problem has 432 variables (432 bin, 0 int, 0 impl, 0 cont) and 185 constraints
    185 constraints of type <setppc>
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |  1158 |     - |  5460k |   0 | 432 | 185 | 185 |   0 |  0 |   0 |   0 | 7.786988e+03 |      --      |    Inf | unknown
  0.3s|     1 |     0 |  1217 |     - |    20M |   0 | 432 | 185 | 188 |   3 |  1 |   0 |   0 | 7.769524e+03 |      --      |    Inf | unknown
  0.4s|     1 |     0 |  1281 |     - |    32M |   0 | 432 | 185 | 191 |   6 |  2 |   0 |   0 | 7.757003e+03 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1321 |     - |    39M |   0 | 432 | 185 | 193 |   8 |  3 |   0 |   0 | 7.751411e+03 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1381 |     - |    47M |   0 | 432 | 185 | 195 |  10 |  4 |   0 |   0 | 7.741865e+03 |      --      |    Inf | unknown
  0.7s|     1 |     0 |  1410 |     - |    50M |   0 | 432 | 185 | 198 |  13 |  5 |   0 |   0 | 7.734122e+03 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  1446 |     - |    57M |   0 | 432 | 185 | 199 |  14 |  6 |   0 |   0 | 7.731652e+03 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  1471 |     - |    65M |   0 | 432 | 185 | 200 |  15 |  7 |   0 |   0 | 7.730978e+03 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  1500 |     - |    67M |   0 | 432 | 185 | 201 |  16 |  8 |   0 |   0 | 7.730501e+03 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  1550 |     - |    79M |   0 | 432 | 185 | 203 |  18 |  9 |   0 |   0 | 7.728656e+03 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  1588 |     - |    82M |   0 | 432 | 185 | 205 |  20 | 10 |   0 |   0 | 7.726555e+03 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  1610 |     - |    82M |   0 | 432 | 185 | 208 |  23 | 11 |   0 |   0 | 7.726266e+03 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  1622 |     - |    82M |   0 | 432 | 185 | 210 |  25 | 12 |   0 |   0 | 7.725928e+03 |      --      |    Inf | unknown
  1.3s|     1 |     0 |  1638 |     - |    82M |   0 | 432 | 185 | 212 |  27 | 13 |   0 |   0 | 7.725574e+03 |      --      |    Inf | unknown
  1.3s|     1 |     0 |  1652 |     - |    82M |   0 | 432 | 185 | 215 |  30 | 14 |   0 |   0 | 7.725293e+03 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.3s|     1 |     0 |  1654 |     - |    82M |   0 | 432 | 185 | 216 |  31 | 15 |   0 |   0 | 7.725274e+03 |      --      |    Inf | unknown
